Month,HEADLINE_CPI_USA,INFLATION_ACCEL,DIV_YIELD_USA,EXCESS_DIV_YIELD,SPREAD_10Y2Y_USA,SPREAD_10Y3M_USA,SPREAD_BAA_AAA_USA,IRSTCI_USA,LOG_VIX,PMI_CHANGE
2005-06-30,2.6,-0.3999999999999999,1.74,-1.9200000000000002,0.3595454545454544,0.6200000000000001,0.8981818181818183,3.04,2.4882344367123217,2.5600000000000023
2005-07-31,3.4,0.7999999999999998,1.73,-2.1399999999999997,0.3089999999999997,0.6099999999999999,0.8955,3.26,2.448415514829113,1.1999999999999957
2005-08-31,4.1,0.6999999999999997,1.74,-2.25,0.2156521739130434,0.4899999999999997,0.867391304347826,3.5,2.533696844232807,1.3600000000000065
2005-09-30,5.7,1.6000000000000005,1.75,-2.2,0.2538095238095237,0.33,0.902857142857143,3.62,2.4782176680377024,-3.6000000000000014
2005-10-31,5.1,-0.6000000000000005,1.82,-2.289999999999999,0.189,0.33,0.9530000000000004,3.78,2.729159144392355,1.4399999999999977
2005-11-30,3.8,-1.2999999999999998,1.78,-2.45,0.1234999999999999,0.2300000000000004,0.975,4.0,2.4898942260931265,1.259999999999998
2005-12-31,3.7,-0.09999999999999964,1.76,-2.42,0.0657142857142858,0.0199999999999995,0.9514285714285714,4.16,2.4907230098256137,-0.3999999999999986
2006-01-31,4.5,0.7999999999999998,1.75,-2.4000000000000004,0.0244999999999997,-0.1399999999999996,0.9425,4.29,2.561095773416986,-2.1799999999999997
2006-02-28,4.0,-0.5,1.77,-2.5700000000000007,-0.0984210526315791,-0.1499999999999994,0.9221052631578948,4.49,2.5128460308425487,1.2000000000000028
2006-03-31,3.7,-0.2999999999999998,1.76,-2.67,-0.0139130434782606,-0.1600000000000001,0.8860869565217392,4.59,2.432735807601562,-0.8599999999999994
2006-04-30,3.8,0.09999999999999964,1.77,-2.98,0.1010526315789475,-0.04,0.838421052631579,4.79,2.4501426705171383,1.3799999999999955
2006-05-31,4.4,0.6000000000000005,1.8,-3.1000000000000005,0.1418181818181825,-0.04,0.794090909090909,4.94,2.79971742211329,-1.4199999999999946
2006-06-30,4.6,0.1999999999999993,1.87,-2.880000000000001,-0.0118181818181817,-0.2399999999999993,0.8881818181818179,4.99,2.5710843401961823,-1.7800000000000011
2006-07-31,4.4,-0.1999999999999993,1.88,-2.99,-0.0285000000000001,-0.3700000000000001,0.912,5.24,2.7047112870785104,0.519999999999996
2006-08-31,3.9,-0.5000000000000004,1.85,-2.9,-0.0234782608695649,-0.5,0.9052173913043476,5.25,2.510411974283827,-1.2199999999999989
2006-09-30,1.4,-2.5,1.83,-2.8,-0.0490000000000003,-0.6200000000000001,0.9209999999999998,5.25,2.4832385544766455,0.17999999999999972
2006-10-31,0.4,-0.9999999999999999,1.79,-2.8600000000000003,-0.0657142857142849,-0.5999999999999996,0.914285714285714,5.25,2.40694514268493,0.1600000000000037
2006-11-30,1.2,0.7999999999999999,1.77,-2.7599999999999993,-0.1404761904761908,-0.7200000000000006,0.8728571428571429,5.25,2.3896797858589216,-0.5400000000000063
2006-12-31,2.0,0.8,1.76,-2.7199999999999998,-0.1135000000000001,-0.7600000000000007,0.8959999999999999,5.24,2.4475508995432533,-0.4199999999999946
2007-01-31,1.4,-0.6000000000000001,1.76,-2.9299999999999997,-0.1161904761904768,-0.5600000000000005,0.9409523809523808,5.25,2.3437270436470965,1.1400000000000006
2007-02-28,1.8,0.40000000000000013,1.75,-2.92,-0.1289473684210529,-0.5899999999999999,0.8889473684210528,5.26,2.73566537308291,-0.6400000000000006
2007-03-31,2.4,0.5999999999999999,1.81,-2.7099999999999995,-0.0136363636363645,-0.7400000000000002,0.9640909090909092,5.26,2.683757531984173,-2.0
2007-04-30,2.2,-0.19999999999999973,1.76,-2.870000000000001,0.0238095238095246,-0.6199999999999992,0.926190476190476,5.25,2.6546494431534917,1.4199999999999946
2007-05-31,2.4,0.19999999999999973,1.72,-2.9700000000000006,-0.0163636363636365,-0.5599999999999996,0.910909090909091,5.25,2.568788148384401,0.7000000000000028
2007-06-30,2.4,0.0,1.73,-3.2899999999999996,0.1195238095238089,-0.2300000000000004,0.9023809523809526,5.25,2.7868613533217137,0.8999999999999986
2007-07-31,2.0,-0.3999999999999999,1.74,-3.1999999999999993,0.1809523809523812,-0.3200000000000003,0.9195238095238096,5.26,3.157851142493167,-1.3999999999999986
2007-08-31,1.5,-0.5,1.84,-2.3599999999999994,0.3569565217391304,-0.8200000000000003,0.864782608695652,5.02,3.151880920148567,-0.9399999999999977
2007-09-30,2.6,1.1,1.8,-2.2,0.5084210526315784,-0.9400000000000004,0.854736842105263,4.94,2.8903717578961645,-0.21999999999999886
2007-10-31,3.7,1.1,1.77,-2.44,0.562272727272727,-0.5499999999999998,0.8186363636363636,4.76,2.9193910773531506,0.8200000000000003
2007-11-30,4.8,1.0999999999999996,1.88,-1.790000000000001,0.8135000000000003,-0.8199999999999994,0.9595,4.49,3.129826044730509,-0.7600000000000051
2007-12-31,4.5,-0.2999999999999998,1.87,-1.4500000000000002,0.9829999999999997,-0.92,1.1535,4.24,3.1135153092103742,-0.46000000000000085
2008-01-31,4.8,0.2999999999999998,2.03,-1.8100000000000005,1.2642857142857142,-0.0999999999999996,1.2095238095238094,3.94,3.2657594398868772,-5.739999999999995
2008-02-29,4.5,-0.2999999999999998,2.07,-1.5900000000000003,1.767,0.6800000000000002,1.2965,2.98,3.278653063400193,3.039999999999999
2008-03-31,4.4,-0.09999999999999964,2.15,-1.1799999999999997,1.8929999999999996,0.7199999999999998,1.3865000000000005,2.61,3.242982924043982,0.29999999999999716
2008-04-30,4.5,0.09999999999999964,2.08,-1.0299999999999998,1.6327272727272728,0.8300000000000001,1.4145454545454546,2.28,3.03447214590683,1.9200000000000017
2008-05-31,4.8,0.2999999999999998,2.04,-1.1599999999999997,1.4342857142857142,1.2199999999999998,1.355714285714286,1.98,2.880882427596084,-0.03999999999999915
2008-06-30,6.0,1.2000000000000002,2.14,-1.1999999999999997,1.326190476190476,1.34,1.3976190476190475,2.0,3.1759683557124334,-2.6799999999999997
2008-07-31,6.8,0.7999999999999998,2.29,-0.9399999999999995,1.4368181818181816,1.2199999999999998,1.4940909090909091,2.01,3.1328821349818528,1.0
2008-08-31,6.5,-0.2999999999999998,2.25,-0.8500000000000001,1.46952380952381,1.1,1.5123809523809522,2.0,3.0277153009339313,0.8599999999999994
2008-09-30,5.9,-0.5999999999999996,2.37,0.45999999999999996,1.6138095238095236,0.1,1.659047619047619,1.81,3.6735119614877254,-1.6000000000000014
2008-10-31,4.2,-1.7000000000000002,2.96,2.5,2.1977272727272728,-0.5100000000000002,2.595909090909091,0.97,4.092509536085161,-5.560000000000002
2008-11-30,0.8,-3.4000000000000004,3.23,1.67,2.317222222222222,1.17,3.087222222222222,0.39,4.0124111573772305,-6.219999999999999
2008-12-31,-0.5,-1.3,3.23,2.42,1.5990909090909091,0.6499999999999999,3.384545454545455,0.16,3.6888794541139363,1.8800000000000026
2009-01-31,-0.5,0.0,3.24,1.5900000000000003,1.713,1.5,3.095,0.15,3.8031006016069004,2.479999999999997
2009-02-28,-0.2,0.3,3.43,1.5,1.8947368421052633,1.7100000000000002,2.818421052631579,0.22,3.8362212590910674,-1.0
2009-03-31,-1.0,-0.8,3.6,1.6700000000000004,1.8886363636363632,1.7499999999999998,2.9240909090909097,0.18,3.7873663870009606,-0.5399999999999991
2009-04-30,-1.5,-0.5,3.15,0.96,2.002857142857143,2.04,2.998571428571428,0.15,3.597312260588446,3.0799999999999983
2009-05-31,-2.2,-0.7000000000000002,2.9,-4.440892098500626e-16,2.3605,2.72,2.5235000000000003,0.18,3.3645333999286673,0.7800000000000011
2009-06-30,-2.3,-0.09999999999999964,2.76,-0.7800000000000002,2.535909090909091,3.33,1.8890909090909092,0.21,3.2714682894644005,2.8000000000000043
2009-07-31,-3.1,-0.8000000000000003,2.67,-0.7000000000000002,2.540909090909091,3.21,1.675909090909091,0.16,3.255014874427513,0.3399999999999963
