Date,EEM,EFA,EWC,IEMG,VEA,VGK,VWO
2010-02-09,27.02570343017578,32.23047637939453,17.64672088623047,,19.729270935058594,25.807859420776367,24.41124153137207
2010-02-10,26.95464324951172,32.02613830566406,17.78229522705078,,19.60662269592285,25.51076316833496,24.334110260009766
2010-02-11,27.66527557373047,32.323368072509766,18.189027786254883,,19.772205352783203,25.72787094116211,24.93185806274414
2010-02-12,27.31705665588379,32.044715881347656,18.196170806884766,,19.7231388092041,25.379362106323242,24.65548324584961
2010-02-16,28.02060317993164,32.7568244934082,18.61003875732422,,20.035919189453125,26.04783821105957,25.285367965698242
2010-02-17,28.120094299316406,32.8001594543457,18.63144874572754,,20.06044578552246,26.019275665283203,25.381784439086914
2010-02-18,28.226696014404297,32.98592758178711,18.852657318115234,,20.244426727294922,26.236385345458984,25.433202743530273
2010-02-19,27.985069274902344,32.78158950805664,18.86693000793457,,20.06044578552246,26.122116088867188,25.266084671020508
2010-02-22,28.02060317993164,32.843509674072266,18.752756118774414,,20.09110450744629,26.08211326599121,25.278940200805664
2010-02-23,27.373929977416992,32.379093170166016,18.28179359436035,,19.864192962646484,25.562191009521484,24.713321685791016
2010-02-24,27.636856079101562,32.583438873291016,18.3531494140625,,19.925525665283203,25.830717086791992,25.021841049194336
2010-02-25,27.409452438354492,32.38528823852539,18.4316463470459,,19.845796585083008,25.619325637817383,24.82259178161621
2010-02-26,27.686595916748047,32.583438873291016,18.488733291625977,,19.98072052001953,25.819293975830078,25.041126251220703
2010-03-01,28.15562629699707,32.837318420410156,18.86693000793457,,20.12790298461914,25.8992862701416,25.458906173706055
2010-03-02,28.475414276123047,33.08501052856445,19.14522361755371,,20.275094985961914,26.173532485961914,25.748140335083008
2010-03-03,28.51093864440918,33.48130416870117,19.287940979003906,,20.563335418701172,26.567764282226562,25.812406539916992
2010-03-04,28.361713409423828,33.39460754394531,19.23084831237793,,20.45907974243164,26.464927673339844,25.64530372619629
2010-03-05,29.100784301757812,34.044795989990234,19.523418426513672,,20.919042587280273,27.16768455505371,26.39087677001953
2010-03-08,29.122093200683594,34.044795989990234,19.56623077392578,,20.86384391784668,27.081985473632812,26.38446617126465
2010-03-09,29.28554916381836,33.964298248291016,19.523418426513672,,20.802520751953125,26.899154663085938,26.49371910095215
2010-03-10,29.491626739501953,34.10672378540039,19.559093475341797,,20.93744468688965,27.15053367614746,26.54514503479004
2010-03-11,29.498737335205078,34.236759185791016,19.630455017089844,,21.00490379333496,27.310527801513672,26.64797592163086
2010-03-12,29.399246215820312,34.46586990356445,19.758899688720703,,21.103025436401367,27.407642364501953,26.577274322509766
2010-03-15,29.186052322387695,34.2243766784668,19.730358123779297,,20.974233627319336,27.14483070373535,26.397314071655273
