Month,HEADLINE_CPI_USA,IR3TIB_USA,IRLT_USA,IRSTCI_USA,CORE_CPI_USA,DGS2_USA,DIV_YIELD_USA,CREDIT_SPREAD_BAA_USA,CREDIT_SPREAD_AAA_USA,HY_SPREAD_USA,SPREAD_10Y3M_USA,SPREAD_10Y2Y_USA,SPREAD_BAA_AAA_USA
2016-06,0.2,0.55,1.64,0.38,247.54,0.7313636363636363,146.30700000000002,2.86,1.86,,1.09,0.9086363636363636,0.9999999999999998
2016-06,0.2,0.55,1.64,0.38,247.54,0.7313636363636363,146.30700000000002,2.86,1.87,,1.09,0.9086363636363636,0.9899999999999998
2016-06,0.2,0.55,1.64,0.38,247.54,0.7313636363636363,146.30700000000002,2.86,1.88,,1.09,0.9086363636363636,0.98
2016-06,0.2,0.55,1.64,0.38,247.54,0.7313636363636363,146.30700000000002,2.98,1.98,,1.09,0.9086363636363636,1.0
2016-06,0.2,0.55,1.64,0.38,247.54,0.7313636363636363,146.30700000000002,2.96,1.96,,1.09,0.9086363636363636,1.0
2016-06,0.2,0.55,1.64,0.38,247.54,0.7313636363636363,146.30700000000002,2.95,1.96,,1.09,0.9086363636363636,0.9900000000000002
2016-06,0.2,0.55,1.64,0.38,247.54,0.7313636363636363,146.30700000000002,2.9,1.87,,1.09,0.9086363636363636,1.0299999999999998
2016-06,0.2,0.55,1.64,0.38,247.54,0.7313636363636363,146.30700000000002,2.92,1.9,,1.09,0.9086363636363636,1.02
2016-07,0.0,0.62,1.5,0.39,247.829,0.6725,146.30700000000002,2.86,1.88,,0.88,0.8275,0.98
2016-07,0.0,0.62,1.5,0.39,247.829,0.6725,146.30700000000002,,,,0.88,0.8275,
2016-07,0.0,0.62,1.5,0.39,247.829,0.6725,146.30700000000002,2.83,1.85,,0.88,0.8275,0.98
2016-07,0.0,0.62,1.5,0.39,247.829,0.6725,146.30700000000002,2.83,1.85,,0.88,0.8275,0.98
2016-07,0.0,0.62,1.5,0.39,247.829,0.6725,146.30700000000002,2.79,1.82,,0.88,0.8275,0.97
2016-07,0.0,0.62,1.5,0.39,247.829,0.6725,146.30700000000002,2.78,1.81,,0.88,0.8275,0.9699999999999998
2016-07,0.0,0.62,1.5,0.39,247.829,0.6725,146.30700000000002,2.75,1.79,,0.88,0.8275,0.96
2016-07,0.0,0.62,1.5,0.39,247.829,0.6725,146.30700000000002,2.7,1.77,,0.88,0.8275,0.9300000000000002
2016-07,0.0,0.62,1.5,0.39,247.829,0.6725,146.30700000000002,2.69,1.76,,0.88,0.8275,0.93
2016-07,0.0,0.62,1.5,0.39,247.829,0.6725,146.30700000000002,2.7,1.75,,0.88,0.8275,0.9500000000000002
2016-07,0.0,0.62,1.5,0.39,247.829,0.6725,146.30700000000002,2.66,1.73,,0.88,0.8275,0.9300000000000002
2016-07,0.0,0.62,1.5,0.39,247.829,0.6725,146.30700000000002,2.67,1.75,,0.88,0.8275,0.92
2016-07,0.0,0.62,1.5,0.39,247.829,0.6725,146.30700000000002,2.67,1.75,,0.88,0.8275,0.92
2016-07,0.0,0.62,1.5,0.39,247.829,0.6725,146.30700000000002,2.66,1.75,,0.88,0.8275,0.91
2016-07,0.0,0.62,1.5,0.39,247.829,0.6725,146.30700000000002,2.68,1.78,,0.88,0.8275,0.9000000000000001
